"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.AbSpec","Pvalue.AbSpec","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.AbSpec","Ratio.AbSpec","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.39541715390259,1,0.115804968242811,1,0.288983474240677,0,0.923086134112008,0,0.633756498362511,1,0.00829435452642232
"2",51,1,0.792351503392315,1,0.861695958269585,1,0.0508252257396622,0,1.82005121226399,0,1.42001571553048,1,0.00881666931332843
"3",101,1,0.959262845802649,1,0.91418971805928,1,0.323109034782096,0,1.3227437949832,0,0.6936721084444,1,0.0082662412426861
"4",151,1,0.0964449995585692,1,0.523877730016627,1,0.329532548963168,0,1.5520832220518,0,0.78578883691175,1,0.00828666924175863
"5",201,1,0.884692742163513,1,0.883426270659917,1,0.353446840861813,0,1.34556168864638,0,0.946259333529669,1,0.00824376906661184
"6",251,1,0.182645081469514,1,0.348419007446649,1,0.316389215194001,0,0.391640179368432,0,0.495054148191445,1,0.0079923140506463
"7",301,1,0.83632270487346,1,0.596946422060069,1,0.368884935198139,0,1.11396719358545,0,0.737031615047527,1,0.0082582179831316
"8",351,1,0.870407749732762,1,0.962464621966544,1,0.295191625939446,0,1.20652695462602,0,0.815847810901789,1,0.0082424023554035
"9",401,1,0.917247248761736,1,0.924863007736166,1,0.512054975551254,0,1.06139142374951,0,0.499541843647856,1,0.00797785978075466
"10",451,1,0.85252355159014,1,0.257688163512868,1,0.446659072668507,0,1.12796728752785,0,0.629586246940963,1,0.0079552861755319
"11",501,1,0.157558137574631,1,0.141650954962962,1,0.453524004742227,0,1.00662952324358,0,0.995760666132268,1,0.00798978320135858
"12",551,1,0.876011888985379,1,0.892597919609626,1,0.540774377677239,0,1.06166886054444,0,0.837827678524673,1,0.00797655501085492
"13",601,1,0.901128751227924,1,0.93348328749141,1,0.2918330758503,0,0.244958826486749,0,0.345261107896893,1,0.00801637329086629
"14",651,1,0.87908679547711,1,0.559101703467442,1,0.400910823415966,0,1.26875219498969,0,0.81495844280197,1,0.00798667535662583
"15",701,1,0.957159311296625,1,0.872640376250843,1,0.370377066374246,0,1.23178962362467,0,0.701380103722967,1,0.00801191705761485
"16",751,1,0.611498127369603,1,0.863525255349778,1,0.376432852594459,0,1.1786993675946,0,0.998107024335604,1,0.00798438043335874
"17",801,1,0.911696873363676,1,0.2314363217326,1,0.294955164582227,0,1.05777274647009,0,0.668710301943755,1,0.0082643697621391
"18",851,1,0.951578287446884,1,0.910730484978378,1,0.366299807506057,0,1.4937373289067,0,0.616554743092957,1,0.007993205041708
"19",901,1,0.519189627878002,1,0.695229598637015,1,0.291717987585711,0,0.990589765997465,0,0.646799909836184,1,0.0082440132186065
"20",951,1,0.796184045839196,1,0.546019244701252,1,0.474396153891305,0,0.293518908571191,0,0.44246052877687,1,0.00798827151422411
"21",1001,1,0.875446338513447,1,0.0522861836177027,1,0.25069644905939,0,0.486473823847999,0,0.668870362996259,1,0.0082801308679228
"22",1051,1,0.847091293949587,1,0.722295106468625,1,0.321895262861927,0,0.291711667379231,0,0.391885804521546,1,0.00823158274197497
"23",1101,0,4.80276747705233e-07,1,0.10947484214648,1,0.288668282992494,NA,NA,0,0.572690266227548,1,0.00831056454507154
"24",1151,1,0.566641120536198,1,0.105258666832949,1,0.292765444908876,0,0.49194448606734,0,0.693466239699487,1,0.00826814274525907
"25",1201,1,0.951312974241504,1,0.919516161386719,1,0.356997759071584,0,1.24997172490192,0,0.636654282054942,1,0.00794122930274888
"26",1251,1,0.804605835262405,1,0.355520657125922,1,0.447985061839395,0,0.385597243456049,0,0.65167630096285,1,0.00795690924059351
"27",1301,1,0.719491019986418,1,0.813385616807108,1,0.28877103659126,0,1.07830743220149,0,0.766410005071841,1,0.00829555945404131
"28",1351,1,0.743375243262404,1,0.780007043976003,1,0.373428062239761,0,0.998691775544465,0,0.599427669096748,1,0.00826296514570301
"29",1401,1,0.180223588395067,1,0.0896274413543031,1,0.286155483555764,0,0.913433994546374,0,0.626400621231382,1,0.00828495370147971
"30",1451,1,0.799677756148398,1,0.973801094186802,1,0.318942385221796,0,0.286654063182616,0,0.381405571166269,1,0.00801916453304067
"31",1501,1,0.909984000435531,1,0.528488559282503,1,0.263671829080447,0,0.856682595557367,0,0.463342570722111,1,0.00801919773335869
"32",1551,1,0.964024564830546,1,0.919075816851277,1,0.401383839614958,0,1.16701595051689,0,0.630037304658127,1,0.00824866014917275
"33",1601,1,0.110357666470756,1,0.646887073228008,1,0.426240811182479,0,1.44863322251115,0,0.659069389568107,1,0.00801829805393454
"34",1651,1,0.1159549148896,1,0.400226013076181,1,0.293593343060461,0,0.744512857338014,0,0.813668262293444,1,0.00802091001024081
"35",1701,1,0.199527665584526,1,0.070473213800342,1,0.285497513111627,0,2.48268386940357,0,1.89329640825907,1,0.00832382417871232
"36",1751,1,0.297142849736522,1,0.477910788178423,1,0.287760192744422,0,0.856697912994816,0,0.659567262109583,1,0.00830949837129324
"37",1801,1,0.904614267418973,1,0.348573833588317,1,0.2814848973303,0,1.31717966587669,0,0.641788705001452,1,0.00824367232704808
"38",1851,1,0.89851107448388,1,0.767920130496883,1,0.383918586173522,0,1.03612186990504,0,0.520723295016112,1,0.00799543421675649
"39",1901,1,0.786972448725391,1,0.947218580509539,1,0.335934221351097,0,1.47665728218975,0,0.879321432860335,1,0.00828106971111515
"40",1951,1,0.79900285092498,1,0.695732400179549,1,0.330940207917957,0,1.00178011396021,0,0.592110325608426,1,0.00796633859984475
"41",2001,1,0.758399603313533,1,0.182043896163263,1,0.339983114334839,0,0.99193385502822,0,0.564146835199021,1,0.00804510185836325
"42",2051,1,0.659099418384492,1,0.779953129184509,1,0.126963297278197,0,1.78288022324165,0,1.62699842968792,1,0.00873314976169993
"43",2101,1,0.238134911014153,1,0.834363979554168,1,0.298482562989514,0,0.750027093341486,0,0.510632900475963,1,0.00829210547622627
"44",2151,1,0.661404764358546,1,0.992265121633634,1,0.538509434586297,0,0.85127713788395,0,0.978637970652068,1,0.00797728468086987
"45",2201,1,0.821470803185993,1,0.698628081070435,1,0.437074981524417,0,0.275848158045571,0,0.393882755158433,1,0.00796521951394692
"46",2251,1,0.929829592516179,1,0.793294555882157,1,0.344748368253272,0,1.09206815065702,0,0.588490225741455,1,0.00795299680290245
"47",2301,1,0.509031326630292,1,0.304079793282163,1,0.289523322035219,0,0.661729112847731,0,0.694256115383682,1,0.00829634734874501
"48",2351,1,0.55705107249269,1,0.327588488829371,1,0.339881571851033,0,0.645135385962894,0,0.409316528359738,1,0.00799509285074793
"49",2401,1,0.682886313500708,1,0.706897836927083,1,0.118342266889001,0,1.76297793402453,0,1.56415982864422,1,0.00827218550371721
"50",2451,1,0.677583072469785,1,0.062072775035924,1,0.421420863101337,0,1.1914472490072,0,0.994358585545031,1,0.00800446526859886
"51",2501,1,0.89941042731115,1,0.806585828106268,1,0.471383800110202,0,1.12462499244988,0,0.450355439687837,1,0.00798660905872243
"52",2551,1,0.247914323706237,1,0.75553561599886,1,0.342950923075827,0,0.702419601850819,0,0.511184371134575,1,0.00801810920676828
"53",2601,1,0.0931233287689751,1,0.175945549800881,1,0.330855679420464,0,0.933742481018788,0,0.57033530466645,1,0.00831921560796921
"54",2651,1,0.966867259545894,1,0.962782775601688,1,0.305069968171907,0,0.725721538585113,0,0.511076907580603,1,0.00828595310336821
"55",2701,1,0.593810449557306,1,0.10049285088123,1,0.36494193474586,0,0.550134672225713,0,0.60418634019523,1,0.00827106244910707
"56",2751,1,0.764922106048957,1,0.264917076985345,1,0.382228718663971,0,0.965332543212059,0,0.585397215377274,1,0.00828776272123864
"57",2801,1,0.962700503465496,1,0.985901921818722,1,0.304630642317727,0,1.46227103527122,0,0.820325632528024,1,0.00829347038612181
"58",2851,1,0.652325200073699,1,0.0850288484932487,1,0.477431515589637,0,0.782492918637324,0,0.542699202916933,1,0.00796885433746539
"59",2901,1,0.189423083120084,1,0.0928772899722115,1,0.314792924712152,0,0.489760691794414,0,0.397863164920786,1,0.00800736783702909
"60",2951,1,0.84806860398284,1,0.199968733205704,1,0.357381560090651,0,0.878281810910911,0,0.525902993728895,1,0.0079664145880334
"61",3001,1,0.842753378381774,1,0.277895205361374,1,0.353342356833942,0,1.12886177067337,0,0.679718526644694,1,0.00796965230001498
"62",3051,1,0.360911930787061,1,0.534933870768032,1,0.287531386115973,0,0.740587514468742,0,0.493217587824795,1,0.00800431808796648
"63",3101,1,0.537510197885924,1,0.744588827972627,1,0.236279567851161,0,0.8216247002485,0,0.647008507878647,1,0.00802011331250742
"64",3151,1,0.232311472162513,1,0.961966017463326,1,0.325038846259841,0,2.27374719111645,0,1.19002802866515,1,0.00805820279083028
"65",3201,1,0.730418799634013,1,0.834653410826772,1,0.0663141441069178,0,1.82823377238641,0,1.4423141934157,1,0.00871594422417741
"66",3251,1,0.16330518193266,1,0.867628709817383,1,0.349162776500898,0,0.740360911684201,0,0.855553842756649,1,0.00799720727942424
"67",3301,1,0.952515423920898,1,0.995028091234707,1,0.449735599600959,0,1.45327857477768,0,0.6061569439143,1,0.00794376090325584
"68",3351,1,0.284552763795817,1,0.542812141789202,1,0.327552919906648,0,1.05143950640329,0,0.744269861031746,1,0.00827475598842457
"69",3401,1,0.131533632754704,1,0.196087655710523,1,0.502041962702809,0,0.443650317658606,0,0.595735253666325,1,0.00801867022464701
"70",3451,1,0.970160933619979,1,0.625544250483182,1,0.378997377983657,0,1.31226700311324,0,0.709143396443542,1,0.00823912818555741
"71",3501,1,0.723316008611209,1,0.804903676460985,1,0.370343025586821,0,1.3422269278121,0,1.04782612754475,1,0.00800734518894361
"72",3551,1,0.388426284778685,1,0.145853828193245,1,0.230884751427208,0,0.742926527632456,0,0.527708981850317,1,0.00806095202680236
"73",3601,1,0.878392732374677,1,0.924627634554333,1,0.271261499208834,0,1.20413585589564,0,0.721023686411673,1,0.00823237270728264
"74",3651,1,0.138818129927115,1,0.713679461391489,1,0.328972041723726,0,0.344745490239704,0,0.603248547030819,1,0.00797248992357424
"75",3701,1,0.966239070520113,1,0.789541380095338,1,0.31609830414336,0,1.29146779074983,0,0.698410608815369,1,0.00828888121943433
"76",3751,1,0.278050000072947,1,0.151023143870706,1,0.213833016787455,0,0.914054354413864,0,0.843795167920258,1,0.00826016847662737
"77",3801,1,0.275699113451821,1,0.365193245702285,1,0.308002759625498,0,0.681795591494147,0,0.523664772670051,1,0.00828573040754633
"78",3851,1,0.601343314125947,1,0.923684804699528,1,0.29403777292056,0,1.37083899406549,0,1.00614698140845,1,0.00795947911075856
"79",3901,1,0.911343421517493,1,0.971705118140094,1,0.304754356776118,0,1.25409343579111,0,0.742558033713708,1,0.00826654502708313
"80",3951,1,0.159368300901435,1,0.229393882777532,1,0.299294143419351,0,0.421028776371755,0,0.44415962973546,1,0.00827101684712024
"81",4001,1,0.070401369011992,1,0.451330435836646,1,0.337124543762522,0,1.39408430723224,0,0.621358362763101,1,0.0079880258029524
"82",4051,1,0.730867287894562,1,0.0803479476021153,1,0.2372772853416,0,1.03343422069187,0,0.770203924818595,1,0.00828369571229757
"83",4101,1,0.933250063071376,1,0.908945015990038,1,0.340799613620563,0,1.20030504239369,0,0.623111183338262,1,0.00795196181724746
"84",4151,1,0.15609200120867,1,0.305170953187758,1,0.428614364519086,0,0.406655382607852,0,0.683250850494987,1,0.0079454180437846
"85",4201,1,0.736809043458284,1,0.42738027467425,1,0.42002121896522,0,1.10910421600141,0,0.69042776472184,1,0.00803345782108301
"86",4251,1,0.78139398733386,1,0.910501061756119,1,0.434525376248769,0,0.31460987092697,0,0.544159772137135,1,0.00795158457472611
"87",4301,1,0.0508326877639959,1,0.339655292951704,1,0.424990229969535,0,0.329372704330793,0,0.522639315635944,1,0.00801677416400046
"88",4351,1,0.834572055453338,1,0.305522737274319,1,0.324214219860984,0,0.793898812109972,0,0.475762171467758,1,0.00800417701694008
"89",4401,1,0.941616073837317,1,0.687367876054357,1,0.406174231101805,0,1.20789109011394,0,0.666788496069407,1,0.0079890586063069
"90",4451,1,0.888664715049175,1,0.25295571044061,1,0.411071262699622,0,0.942120170100538,0,0.570329599324824,1,0.00795879153118467
"91",4501,1,0.230326062983097,1,0.248826598621259,1,0.350689488718762,0,1.5291146389758,0,0.700248689488384,1,0.00799651389232337
"92",4551,1,0.94907534559234,1,0.806687539804511,1,0.439425963196847,0,1.1135845976535,0,0.542595861346469,1,0.00794791889307483
"93",4601,1,0.297834240853126,1,0.0871434324507354,1,0.414284240428401,0,0.709374209892061,0,0.464799400492587,1,0.00803081382578937
"94",4651,1,0.944469298663023,1,0.967516872134083,1,0.402113445067845,0,1.25939581197648,0,0.696571031642186,1,0.00799301081545872
"95",4701,1,0.38530510137471,1,0.838636693343856,1,0.25211357126507,0,1.18214285857809,0,0.834873041019571,1,0.00825051379084035
"96",4751,1,0.669172667320672,1,0.908793104413594,1,0.321771919231952,0,1.16102740305473,0,1.24042749579857,1,0.00800574574191228
"97",4801,1,0.911836546846237,1,0.988191470363877,1,0.381044781832203,0,1.12961417207728,0,0.502824605201044,1,0.00796636674589456
"98",4851,1,0.910026173021545,1,0.982177405335988,1,0.315636637742494,0,1.33769690850904,0,0.833650559391081,1,0.00828495208056024
"99",4901,1,0.050421604137634,1,0.85373236126796,1,0.351231727525217,0,1.99163173214081,0,0.992244901576684,1,0.00801705877246946
"100",4951,1,0.966184508515492,1,0.509091781194024,1,0.377023807021465,0,1.36434518790913,0,0.715958896350876,1,0.00823561579563564
