"","lower","upper"
"(Intercept)",-2.83081377277267,-2.09212637842575
"EggMass",-0.346398553912877,0.359844451857498
"nTreatment",-0.0380559234181419,0.322856339280406
"PercDev",0.353826037549879,1.27253527248104
"Specieschlorocyanus",-0.145738622011777,0.148587956808115
"Speciescristatellus",-0.533688789317239,-0.245656973565929
"Speciescybotes",0.478402442357037,0.747284771030536
"Speciesdistichus",-0.13051067381457,0.154380073730863
"Speciesequestris",0.994492909696419,2.63216952906805
"Speciessagrei",-0.251822889767936,0.0326566922885831
"nTreatment:Specieschlorocyanus",-0.487561100453604,0.0350391373067396
"nTreatment:Speciescristatellus",-0.0879217141373374,0.415674267496797
"nTreatment:Speciescybotes",-0.0329811300616711,0.463937910855748
"nTreatment:Speciesdistichus",-0.179237639510575,0.340768767629925
"nTreatment:Speciesequestris",-1.0548820213553,-0.527857565568411
"nTreatment:Speciessagrei",-0.281968608174793,0.221030248125317
"(Intercept).Cage.1",-0.169810983162713,0.164850880877069
"(Intercept).Cage.10",-0.116803222701763,0.143247472504539
"(Intercept).Cage.11",-0.111233971068638,0.198384514539781
"(Intercept).Cage.12",-0.121570355535106,0.148349183860361
"(Intercept).Cage.13",-0.154726403578286,0.124663455119998
"(Intercept).Cage.14",-0.125438985858751,0.155607506947736
"(Intercept).Cage.15",-0.174847510670299,0.0941822570666361
"(Intercept).Cage.16",-0.122398822360457,0.167686759817841
"(Intercept).Cage.17",-0.209222135550748,0.0791353103637331
"(Intercept).Cage.18",-0.160055197788546,0.168646465946333
"(Intercept).Cage.19",-0.111061066011814,0.203450728843572
"(Intercept).Cage.2",-0.0714102403362123,0.193577451777623
"(Intercept).Cage.20",-0.176764917956767,0.121619648137647
"(Intercept).Cage.21",-0.193264538592655,0.156351942690053
"(Intercept).Cage.22",-0.293712499838618,0.00522306677738489
"(Intercept).Cage.23",-0.237812838034143,0.0539695509451801
"(Intercept).Cage.24",-0.0213270723385171,0.284674939208779
"(Intercept).Cage.25",-0.112137134644547,0.215997704332383
"(Intercept).Cage.26",-0.120583484196106,0.188903828344416
"(Intercept).Cage.27",-0.0757893517062616,0.22671888540194
"(Intercept).Cage.28",-0.17607954837341,0.121409666456187
"(Intercept).Cage.29",-0.078664581670968,0.194082365949632
"(Intercept).Cage.3",-0.207000013100017,0.0762738127342949
"(Intercept).Cage.30",-0.202556606370405,0.0927044513843268
"(Intercept).Cage.31",-0.115746751351629,0.197288749443517
"(Intercept).Cage.32",-0.145031487898754,0.160722671047012
"(Intercept).Cage.33",-0.0807873423062935,0.193468934679916
"(Intercept).Cage.34",-0.16267021615758,0.108813590970155
"(Intercept).Cage.35",-0.104428029821759,0.194748090602433
"(Intercept).Cage.36",-0.122738200159116,0.188805363095879
"(Intercept).Cage.37",-0.154417764703962,0.123296356667069
"(Intercept).Cage.38",-0.280957195382077,0.0214492906824827
"(Intercept).Cage.4",-0.136951384359923,0.18310117873487
"(Intercept).Cage.40",-0.171557512320134,0.187534726010451
"(Intercept).Cage.42",-0.0968731115661142,0.201679873933445
"(Intercept).Cage.43",-0.170915415229129,0.133420079286045
"(Intercept).Cage.44",-0.192669611297851,0.109192049244991
"(Intercept).Cage.45",-0.197388693154178,0.0948558295002396
"(Intercept).Cage.46",-0.185349150524876,0.101286521057435
"(Intercept).Cage.47",-0.175067360033452,0.169784943670459
"(Intercept).Cage.48",-0.18553530120527,0.139391121392434
"(Intercept).Cage.49",-0.138990972472677,0.144600882137201
"(Intercept).Cage.50",-0.0966430511836065,0.208624376196624
"(Intercept).Cage.51",-0.16942342091168,0.150181292316251
"(Intercept).Cage.52",-0.115390121677508,0.218512047029925
"(Intercept).Cage.57",-0.146506434578396,0.14596724287639
"(Intercept).Cage.58",-0.147397653170313,0.143017943382947
"(Intercept).Cage.59",-0.117119135665293,0.162681583467708
"(Intercept).Cage.6",-0.206564384881267,0.0977526493571644
"(Intercept).Cage.60",-0.125596230543297,0.181395602366198
"(Intercept).Cage.61",-0.123487397730522,0.170756458889397
"(Intercept).Cage.62",-0.162765154265369,0.103214778364652
"(Intercept).Cage.63",-0.12854605550662,0.153591643054627
"(Intercept).Cage.64",-0.252330866717412,0.0930725571708855
"(Intercept).Cage.65",-0.132239868749019,0.177935136671988
"(Intercept).Cage.66",-0.175329755978833,0.137664643407347
"(Intercept).Cage.67",-0.0955988884328653,0.207823537167484
"(Intercept).Cage.68",-0.10162141206982,0.212313645024987
"(Intercept).Cage.69",-0.206262483121659,0.0707992446579969
"(Intercept).Cage.7",-0.171375284453922,0.112177771906925
"(Intercept).Cage.70",-0.187255795919487,0.111550037093167
"(Intercept).Cage.71",-0.104263109605537,0.201738824948487
"(Intercept).Cage.72",-0.128107246215361,0.165190207967905
"(Intercept).Cage.73",-0.150873883013335,0.17809285275719
"(Intercept).Cage.74",-0.124721943744334,0.210361783562382
"(Intercept).Cage.75",-0.251983620355754,0.0888690771015964
"(Intercept).Cage.76",-0.209890935856375,0.109731391745897
"(Intercept).Cage.77",-0.104584610236934,0.195228015305639
"(Intercept).Cage.8",-0.218463594068224,0.0835754865022341
"(Intercept).Cage.9",-0.0304660649238773,0.26996327779832
"nTreatment.Cage.1",-0.171870136803861,0.384346837392938
"nTreatment.Cage.10",-0.253707101215001,0.180370298129301
"nTreatment.Cage.11",-0.245497371287301,0.241037806069735
"nTreatment.Cage.12",-0.291828913822122,0.167779630463737
"nTreatment.Cage.13",-0.217310534215665,0.239166612025618
"nTreatment.Cage.14",-0.267799821477769,0.190043259334402
"nTreatment.Cage.15",-0.167264336443777,0.265134606375064
"nTreatment.Cage.16",-0.288399910875294,0.190653640564271
"nTreatment.Cage.17",-0.205070472324236,0.254948443467367
"nTreatment.Cage.18",-0.255181679683725,0.245957162846075
"nTreatment.Cage.19",-0.196433573843514,0.31148911694593
"nTreatment.Cage.2",-0.197567786434749,0.244750630622369
"nTreatment.Cage.20",-0.184590452567899,0.291295892090252
"nTreatment.Cage.21",-0.236469973787312,0.332224942743108
"nTreatment.Cage.22",-0.438042588371793,0.070204583752347
"nTreatment.Cage.23",-0.329492433702578,0.13949101549396
"nTreatment.Cage.24",-0.0640313059238123,0.46289783296485
"nTreatment.Cage.25",-0.271867638281777,0.262163483671092
"nTreatment.Cage.26",-0.276675298464575,0.22898748825599
"nTreatment.Cage.27",-0.169476490262479,0.328076775774812
"nTreatment.Cage.28",-0.287255604515761,0.211214431911725
"nTreatment.Cage.29",-0.2066803255084,0.245311971940303
"nTreatment.Cage.3",-0.261331272966874,0.189569323337458
"nTreatment.Cage.30",-0.242465975410751,0.229078621631871
"nTreatment.Cage.31",-0.181764989877651,0.312953075366135
"nTreatment.Cage.32",-0.166775239661668,0.350960831382309
"nTreatment.Cage.33",-0.203509986652335,0.249590087317514
"nTreatment.Cage.34",-0.268334251725243,0.18066289367439
"nTreatment.Cage.35",-0.188464677981164,0.282556981033838
"nTreatment.Cage.36",-0.262583366680083,0.241198563326947
"nTreatment.Cage.37",-0.185957652062024,0.26678789549848
"nTreatment.Cage.38",-0.462372479853905,0.0508921204831308
"nTreatment.Cage.4",-0.338709701664383,0.18922624755693
"nTreatment.Cage.40",-0.287817129997586,0.266098132779025
"nTreatment.Cage.42",-0.25096519632379,0.221668747757088
"nTreatment.Cage.43",-0.255818581272739,0.219119904412936
"nTreatment.Cage.44",-0.233360412910513,0.259015813034349
"nTreatment.Cage.45",-0.249919418232422,0.23701930859888
"nTreatment.Cage.46",-0.370114162913495,0.123188774289358
"nTreatment.Cage.47",-0.269340375238469,0.270598553838957
"nTreatment.Cage.48",-0.260345221165708,0.267523479601909
"nTreatment.Cage.49",-0.181142102249318,0.288731662312972
"nTreatment.Cage.50",-0.170288914648328,0.322825597995576
"nTreatment.Cage.51",-0.275889113211572,0.230273509622283
"nTreatment.Cage.52",-0.227516383223493,0.298135564784484
"nTreatment.Cage.57",-0.291185217047292,0.189735395516464
"nTreatment.Cage.58",-0.095993990509847,0.407271489269686
"nTreatment.Cage.59",-0.209947498951223,0.251138017650412
"nTreatment.Cage.6",-0.419371688373191,0.0986540171047763
"nTreatment.Cage.60",-0.277185658838655,0.220951209309021
"nTreatment.Cage.61",-0.3122602107833,0.179777600680434
"nTreatment.Cage.62",-0.191809297532476,0.254501104111695
"nTreatment.Cage.63",-0.279338445009842,0.177919679249559
"nTreatment.Cage.64",-0.296476665765281,0.249355805967219
"nTreatment.Cage.65",-0.251425746003922,0.240007794443755
"nTreatment.Cage.66",-0.225608398952209,0.270013887682341
"nTreatment.Cage.67",-0.245457142426487,0.24787132575371
"nTreatment.Cage.68",-0.173114874444676,0.317601481457298
"nTreatment.Cage.69",-0.349490936555493,0.109844152578633
"nTreatment.Cage.7",-0.22289306876526,0.24935238763808
"nTreatment.Cage.70",-0.288851596028125,0.204785531054335
"nTreatment.Cage.71",-0.351697240725465,0.167757120576938
"nTreatment.Cage.72",-0.112695400868986,0.367236583801489
"nTreatment.Cage.73",-0.198375327347458,0.33611164411923
"nTreatment.Cage.74",-0.131695538686233,0.416609896117615
"nTreatment.Cage.75",-0.381723023416864,0.177385468181381
"nTreatment.Cage.76",-0.343445359338381,0.177323144585584
"nTreatment.Cage.77",-0.218991673455055,0.255059572563865
"nTreatment.Cage.8",-0.245949642694002,0.244370088034011
"nTreatment.Cage.9",-0.127666254553758,0.370133158714668
"(Intercept):(Intercept).Cage",4.06005521705007e-07,0.0165395083403854
"nTreatment:(Intercept).Cage",-0.00373491152682642,0.0134817180515505
"(Intercept):nTreatment.Cage",-0.00373491152682642,0.0134817180515505
"nTreatment:nTreatment.Cage",8.81365995535357e-08,0.0470766256323921
"units",0.0805660937864331,0.109822119785428
